rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/fps,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates
0.0,5994,7680000,7680,1000.0,1281,0.05,0.0001,5.617434908344876e-06,1907499
0.0,5998,7684000,7684,1000.0,1281,0.05,0.0001,3.977795131504536e-06,1908499
0.0,6001,7688000,7688,1000.0,1281,0.05,0.0001,0.0013371151871979237,1909499
0.0,6004,7692000,7692,1000.0,1281,0.05,0.0001,4.3592831389105413e-07,1910499
0.0,6007,7696000,7696,1000.0,1281,0.05,0.0001,1.3582113069787738e-06,1911499
0.0,6010,7700000,7700,1000.0,1280,0.05,0.0001,1.0577600733086001e-06,1912499
0.0,6014,7704000,7704,1000.0,1280,0.05,0.0001,8.492616530020314e-07,1913499
0.0,6017,7708000,7708,1000.0,1280,0.05,0.0001,8.178935786418151e-07,1914499
0.0,6020,7712000,7712,1000.0,1280,0.05,0.0001,1.3652844188527524e-07,1915499
0.0,6024,7716000,7716,1000.0,1280,0.05,0.0001,7.850204383430537e-06,1916499
0.0,6027,7720000,7720,1000.0,1280,0.05,0.0001,2.596154899947578e-07,1917499
0.0,6030,7724000,7724,1000.0,1280,0.05,0.0001,6.185499614730361e-07,1918499
0.0,6033,7728000,7728,1000.0,1280,0.05,0.0001,3.4664158192754257e-06,1919499
0.0,6037,7732000,7732,1000.0,1280,0.05,0.0001,5.935970875725616e-06,1920499
0.0,6040,7736000,7736,1000.0,1280,0.05,0.0001,0.0008465824066661298,1921499
0.0,6043,7740000,7740,1000.0,1280,0.05,0.0001,8.143201739585493e-07,1922499
0.0,6047,7744000,7744,1000.0,1280,0.05,0.0001,3.395388375793118e-06,1923499
0.0,6050,7748000,7748,1000.0,1280,0.05,0.0001,0.0009222985245287418,1924499
0.0,6053,7752000,7752,1000.0,1280,0.05,0.0001,3.0186342883098405e-06,1925499
0.0,6056,7756000,7756,1000.0,1280,0.05,0.0001,2.5687295419629663e-06,1926499
0.0,6060,7760000,7760,1000.0,1280,0.05,0.0001,3.2294772154273232e-06,1927499
0.0,6063,7764000,7764,1000.0,1280,0.05,0.0001,9.114779686569818e-07,1928499
0.0,6066,7768000,7768,1000.0,1280,0.05,0.0001,3.056100581488863e-07,1929499
0.0,6070,7772000,7772,1000.0,1280,0.05,0.0001,1.2403513665049104e-06,1930499
0.0,6073,7776000,7776,1000.0,1280,0.05,0.0001,4.180932137387572e-06,1931499
0.0,6076,7780000,7780,1000.0,1280,0.05,0.0001,6.107021590651129e-07,1932499
0.0,6080,7784000,7784,1000.0,1280,0.05,0.0001,3.072823915317713e-07,1933499
0.0,6083,7788000,7788,1000.0,1280,0.05,0.0001,4.933630179948523e-07,1934499
0.0,6086,7792000,7792,1000.0,1280,0.05,0.0001,2.4044777546805562e-06,1935499
0.0,6089,7796000,7796,1000.0,1280,0.05,0.0001,2.8186718736833427e-06,1936499
0.0,6093,7800000,7800,1000.0,1280,0.05,0.0001,2.6602215257298667e-06,1937499
0.0,6096,7804000,7804,1000.0,1280,0.05,0.0001,4.0855147744878195e-06,1938499
0.0,6099,7808000,7808,1000.0,1280,0.05,0.0001,1.5905814052530332e-06,1939499
0.0,6102,7812000,7812,1000.0,1280,0.05,0.0001,9.106078323384281e-06,1940499
0.0,6106,7816000,7816,1000.0,1280,0.05,0.0001,1.0671327572708833e-06,1941499
0.0,6109,7820000,7820,1000.0,1279,0.05,0.0001,2.94997363425864e-07,1942499
0.0,6112,7824000,7824,1000.0,1279,0.05,0.0001,1.5540812228209688e-06,1943499
0.0,6115,7828000,7828,1000.0,1279,0.05,0.0001,5.162986326467944e-06,1944499
0.0,6119,7832000,7832,1000.0,1279,0.05,0.0001,3.85714201911469e-06,1945499
0.0,6122,7836000,7836,1000.0,1279,0.05,0.0001,1.3047572338109603e-06,1946499
0.0,6126,7840000,7840,1000.0,1279,0.05,0.0001,7.417306733259466e-07,1947499
0.0,6129,7844000,7844,1000.0,1279,0.05,0.0001,6.514942469948437e-06,1948499
0.0,6132,7848000,7848,1000.0,1279,0.05,0.0001,5.254074949334608e-06,1949499
0.0,6136,7852000,7852,1000.0,1279,0.05,0.0001,7.473112418665551e-06,1950499
0.0,6139,7856000,7856,1000.0,1279,0.05,0.0001,1.9013352812180528e-06,1951499
0.0,6142,7860000,7860,1000.0,1279,0.05,0.0001,2.364420879530371e-06,1952499
0.0,6146,7864000,7864,1000.0,1279,0.05,0.0001,0.0012696770718321204,1953499
0.0,6149,7868000,7868,1000.0,1279,0.05,0.0001,9.664949175203219e-06,1954499
0.0,6152,7872000,7872,1000.0,1279,0.05,0.0001,5.872545898455428e-07,1955499
0.0,6156,7876000,7876,1000.0,1279,0.05,0.0001,9.528024747851305e-06,1956499
0.0,6159,7880000,7880,1000.0,1279,0.05,0.0001,3.306277449155459e-06,1957499
0.0,6162,7884000,7884,1000.0,1279,0.05,0.0001,2.941387037935783e-06,1958499
0.0,6166,7888000,7888,1000.0,1279,0.05,0.0001,9.395936331202392e-07,1959499
0.0,6170,7892000,7892,1000.0,1279,0.05,0.0001,4.0126747080648784e-07,1960499
0.0,6173,7896000,7896,1000.0,1279,0.05,0.0001,9.784363328435575e-07,1961499
0.0,6176,7900000,7900,1000.0,1278,0.05,0.0001,5.234675427345792e-06,1962499
0.0,6180,7904000,7904,1000.0,1278,0.05,0.0001,3.596479018597165e-06,1963499
0.0,6184,7908000,7908,1000.0,1278,0.05,0.0001,8.12442522146739e-06,1964499
0.0,6187,7912000,7912,1000.0,1278,0.05,0.0001,2.7295700419927016e-06,1965499
0.0,6191,7916000,7916,1000.0,1278,0.05,0.0001,1.498000983701786e-06,1966499
0.0,6194,7920000,7920,1000.0,1278,0.05,0.0001,0.0008952933130785823,1967499
0.0,6197,7924000,7924,1000.0,1278,0.05,0.0001,8.394561064051231e-07,1968499
0.0,6201,7928000,7928,1000.0,1278,0.05,0.0001,9.801103260542732e-06,1969499
0.0,6204,7932000,7932,1000.0,1278,0.05,0.0001,3.6306612400949234e-06,1970499
0.0,6207,7936000,7936,1000.0,1278,0.05,0.0001,9.65090634963417e-07,1971499
0.0,6210,7940000,7940,1000.0,1278,0.05,0.0001,6.184765197758679e-07,1972499
0.0,6213,7944000,7944,1000.0,1278,0.05,0.0001,1.0581326250758138e-06,1973499
0.0,6217,7948000,7948,1000.0,1278,0.05,0.0001,2.7138576115248725e-06,1974499
0.0,6220,7952000,7952,1000.0,1278,0.05,0.0001,9.79322794592008e-06,1975499
0.0,6223,7956000,7956,1000.0,1278,0.05,0.0001,1.0594955710985232e-05,1976499
0.0,6226,7960000,7960,1000.0,1278,0.05,0.0001,3.1379494203065406e-07,1977499
0.0,6230,7964000,7964,1000.0,1278,0.05,0.0001,0.0016587310237810016,1978499
0.0,6233,7968000,7968,1000.0,1278,0.05,0.0001,6.039247637090739e-06,1979499
0.0,6236,7972000,7972,1000.0,1278,0.05,0.0001,4.284227543394081e-06,1980499
0.0,6240,7976000,7976,1000.0,1278,0.05,0.0001,1.7760288528734236e-06,1981499
0.0,6243,7980000,7980,1000.0,1278,0.05,0.0001,2.956662683573086e-06,1982499
0.0,6246,7984000,7984,1000.0,1278,0.05,0.0001,4.635792720364407e-06,1983499
0.0,6250,7988000,7988,1000.0,1278,0.05,0.0001,2.744920038821874e-06,1984499
0.0,6253,7992000,7992,1000.0,1277,0.05,0.0001,2.954595856863307e-06,1985499
0.0,6256,7996000,7996,1000.0,1277,0.05,0.0001,5.270731435302878e-06,1986499
0.0,6260,8000000,8000,1000.0,1277,0.05,0.0001,8.128677677632368e-07,1987499
0.0,6263,8004000,8004,1000.0,1277,0.05,0.0001,9.863788363873027e-07,1988499
0.0,6266,8008000,8008,1000.0,1277,0.05,0.0001,6.694179774058284e-06,1989499
0.0,6269,8012000,8012,1000.0,1277,0.05,0.0001,7.25949405477877e-07,1990499
0.0,6273,8016000,8016,1000.0,1277,0.05,0.0001,1.7838299015693337e-07,1991499
0.01,6276,8020000,8020,1000.0,1277,0.05,0.0001,5.726097697333898e-06,1992499
0.01,6279,8024000,8024,1000.0,1277,0.05,0.0001,1.283773485738493e-06,1993499
0.01,6283,8028000,8028,1000.0,1277,0.05,0.0001,1.5464013358723605e-06,1994499
0.01,6286,8032000,8032,1000.0,1277,0.05,0.0001,4.934985099680489e-06,1995499
0.01,6289,8036000,8036,1000.0,1277,0.05,0.0001,6.119095814938191e-06,1996499
0.01,6292,8040000,8040,1000.0,1277,0.05,0.0001,7.762706445646472e-06,1997499
0.01,6296,8044000,8044,1000.0,1277,0.05,0.0001,2.223777983090258e-06,1998499
0.01,6299,8048000,8048,1000.0,1277,0.05,0.0001,1.2904837376481737e-07,1999499
0.01,6302,8052000,8052,1000.0,1277,0.05,0.0001,1.5884746744632139e-06,2000499
0.01,6305,8056000,8056,1000.0,1277,0.05,0.0001,3.3485869153082604e-06,2001499
0.01,6309,8060000,8060,1000.0,1277,0.05,0.0001,2.240366939076921e-06,2002499
0.01,6312,8064000,8064,1000.0,1277,0.05,0.0001,1.1855139518957003e-06,2003499
0.01,6315,8068000,8068,1000.0,1277,0.05,0.0001,9.543223313812632e-07,2004499
0.01,6318,8072000,8072,1000.0,1277,0.05,0.0001,1.060110321304819e-06,2005499
0.01,6322,8076000,8076,1000.0,1277,0.05,0.0001,0.0015341576654464006,2006499
0.01,6325,8080000,8080,1000.0,1277,0.05,0.0001,1.2832711036026012e-06,2007499
0.01,6328,8084000,8084,1000.0,1277,0.05,0.0001,5.966882667962636e-07,2008499
0.01,6332,8088000,8088,1000.0,1277,0.05,0.0001,2.3992214437384973e-07,2009499
0.03,6335,8092000,8092,1000.0,1277,0.05,0.0001,3.228254286113952e-07,2010499
0.03,6338,8096000,8096,1000.0,1277,0.05,0.0001,1.3522715107683325e-06,2011499
0.03,6341,8100000,8100,1000.0,1277,0.05,0.0001,3.2011603252612986e-06,2012499
0.03,6345,8104000,8104,1000.0,1277,0.05,0.0001,4.07796369472635e-06,2013499
0.03,6348,8108000,8108,1000.0,1277,0.05,0.0001,8.34977618069388e-06,2014499
0.03,6351,8112000,8112,1000.0,1277,0.05,0.0001,2.6321066570744733e-07,2015499
0.03,6354,8116000,8116,1000.0,1277,0.05,0.0001,4.287660431145923e-07,2016499
0.02,6358,8120000,8120,1000.0,1277,0.05,0.0001,1.7128975287050707e-06,2017499
0.02,6361,8124000,8124,1000.0,1277,0.05,0.0001,4.923016945213021e-07,2018499
0.02,6364,8128000,8128,1000.0,1277,0.05,0.0001,2.236433374491753e-06,2019499
0.02,6368,8132000,8132,1000.0,1277,0.05,0.0001,0.0014088200405240059,2020499
0.02,6371,8136000,8136,1000.0,1276,0.05,0.0001,6.572711299668299e-07,2021499
0.02,6374,8140000,8140,1000.0,1276,0.05,0.0001,7.603622634633211e-06,2022499
0.03,6377,8144000,8144,1000.0,1276,0.05,0.0001,0.0010922678047791123,2023499
0.03,6380,8148000,8148,1000.0,1276,0.05,0.0001,9.260804745281348e-07,2024499
0.03,6384,8152000,8152,1000.0,1276,0.05,0.0001,1.4169771702654543e-06,2025499
0.03,6387,8156000,8156,1000.0,1276,0.05,0.0001,7.3938117566285655e-06,2026499
0.03,6390,8160000,8160,1000.0,1276,0.05,0.0001,1.0061484090329031e-06,2027499
0.03,6393,8164000,8164,1000.0,1276,0.05,0.0001,2.866012891900027e-06,2028499
0.03,6397,8168000,8168,1000.0,1276,0.05,0.0001,5.622473963740049e-06,2029499
0.04,6400,8172000,8172,1000.0,1276,0.05,0.0001,1.670525762165198e-07,2030499
0.04,6403,8176000,8176,1000.0,1276,0.05,0.0001,1.6921563883443014e-06,2031499
0.04,6406,8180000,8180,1000.0,1276,0.05,0.0001,4.4827384044765495e-06,2032499
0.04,6410,8184000,8184,1000.0,1276,0.05,0.0001,4.339610313763842e-06,2033499
0.04,6413,8188000,8188,1000.0,1276,0.05,0.0001,5.473089913721196e-06,2034499
0.02,6416,8192000,8192,1000.0,1276,0.05,0.0001,9.54264760366641e-06,2035499
0.02,6420,8196000,8196,1000.0,1276,0.05,0.0001,8.1680345829227e-06,2036499
0.02,6423,8200000,8200,1000.0,1276,0.05,0.0001,3.5644241052068537e-06,2037499
0.02,6426,8204000,8204,1000.0,1276,0.05,0.0001,4.9942532314162236e-06,2038499
0.03,6430,8208000,8208,1000.0,1276,0.05,0.0001,6.042412678652909e-06,2039499
0.03,6433,8212000,8212,1000.0,1276,0.05,0.0001,7.86279997555539e-06,2040499
0.03,6436,8216000,8216,1000.0,1276,0.05,0.0001,1.5752671060909051e-06,2041499
0.04,6439,8220000,8220,1000.0,1276,0.05,0.0001,6.47903470962774e-06,2042499
0.04,6443,8224000,8224,1000.0,1276,0.05,0.0001,1.0485362508916296e-05,2043499
0.04,6446,8228000,8228,1000.0,1276,0.05,0.0001,2.1540197394642746e-06,2044499
0.04,6449,8232000,8232,1000.0,1276,0.05,0.0001,3.4181741739303106e-06,2045499
0.04,6452,8236000,8236,1000.0,1276,0.05,0.0001,4.536517280939734e-06,2046499
0.04,6456,8240000,8240,1000.0,1276,0.05,0.0001,0.0013010415714234114,2047499
0.03,6459,8244000,8244,1000.0,1276,0.05,0.0001,7.009949058556231e-06,2048499
0.03,6462,8248000,8248,1000.0,1276,0.05,0.0001,8.257672561740037e-06,2049499
0.04,6466,8252000,8252,1000.0,1276,0.05,0.0001,1.7575079027665197e-06,2050499
0.04,6469,8256000,8256,1000.0,1276,0.05,0.0001,1.9060698832618073e-06,2051499
0.05,6473,8260000,8260,1000.0,1276,0.05,0.0001,7.221606779239664e-07,2052499
0.05,6476,8264000,8264,1000.0,1276,0.05,0.0001,7.159469532780349e-07,2053499
0.05,6479,8268000,8268,1000.0,1275,0.05,0.0001,1.4864399418001994e-06,2054499
0.04,6482,8272000,8272,1000.0,1275,0.05,0.0001,1.123436049965676e-06,2055499
0.04,6486,8276000,8276,1000.0,1275,0.05,0.0001,9.366335689264815e-06,2056499
0.04,6489,8280000,8280,1000.0,1275,0.05,0.0001,5.010019776818808e-07,2057499
0.04,6492,8284000,8284,1000.0,1275,0.05,0.0001,3.9261713027372025e-06,2058499
0.05,6495,8288000,8288,1000.0,1275,0.05,0.0001,4.301286026020534e-06,2059499
0.05,6499,8292000,8292,1000.0,1275,0.05,0.0001,5.9231028899375815e-06,2060499
0.06,6502,8296000,8296,1000.0,1275,0.05,0.0001,4.320838343119249e-06,2061499
0.06,6505,8300000,8300,1000.0,1275,0.05,0.0001,8.142864658111648e-07,2062499
0.06,6509,8304000,8304,1000.0,1275,0.05,0.0001,1.1879253634106135e-06,2063499
0.05,6512,8308000,8308,1000.0,1275,0.05,0.0001,1.207033335504093e-07,2064499
0.05,6515,8312000,8312,1000.0,1275,0.05,0.0001,4.070663635502569e-06,2065499
0.05,6518,8316000,8316,1000.0,1275,0.05,0.0001,4.0678503410163103e-07,2066499
0.04,6522,8320000,8320,1000.0,1275,0.05,0.0001,1.933118710439885e-06,2067499
0.04,6525,8324000,8324,1000.0,1275,0.05,0.0001,1.485152097302489e-05,2068499
0.04,6528,8328000,8328,1000.0,1275,0.05,0.0001,1.3087533261568751e-06,2069499
0.05,6531,8332000,8332,1000.0,1275,0.05,0.0001,7.275186248989485e-07,2070499
0.05,6535,8336000,8336,1000.0,1275,0.05,0.0001,0.0014742659404873848,2071499
0.05,6539,8340000,8340,1000.0,1275,0.05,0.0001,3.168024932165281e-06,2072499
0.05,6542,8344000,8344,1000.0,1275,0.05,0.0001,2.332865278731333e-06,2073499
0.05,6546,8348000,8348,1000.0,1275,0.05,0.0001,2.4777682483545505e-06,2074499
0.04,6549,8352000,8352,1000.0,1275,0.05,0.0001,6.040182256583648e-07,2075499
0.05,6553,8356000,8356,1000.0,1275,0.05,0.0001,1.9781646187766455e-06,2076499
0.05,6556,8360000,8360,1000.0,1275,0.05,0.0001,1.5510904631810263e-06,2077499
0.05,6559,8364000,8364,1000.0,1275,0.05,0.0001,1.0849730642803479e-05,2078499
0.05,6563,8368000,8368,1000.0,1275,0.05,0.0001,0.0012669594725593925,2079499
0.05,6566,8372000,8372,1000.0,1275,0.05,0.0001,1.32814943754056e-06,2080499
0.05,6569,8376000,8376,1000.0,1274,0.05,0.0001,3.981333975389134e-06,2081499
0.05,6572,8380000,8380,1000.0,1274,0.05,0.0001,5.5049877119017765e-06,2082499
0.05,6575,8384000,8384,1000.0,1274,0.05,0.0001,7.681910574319772e-06,2083499
0.04,6579,8388000,8388,1000.0,1274,0.05,0.0001,4.883926294496632e-07,2084499
0.04,6582,8392000,8392,1000.0,1274,0.05,0.0001,0.0012585280928760767,2085499
0.03,6585,8396000,8396,1000.0,1274,0.05,0.0001,1.8118103071174119e-06,2086499
