time/episodes,time/fps,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/loss,train/learning_rate,train/n_updates
432,1569,0.5543999999999999,1000.0,3.38,432000,275,5.531755959964357e-05,0.0001,95499
436,1567,0.5512000000000002,1000.0,3.13,436000,278,0.0001459521008655429,0.0001,96499
440,1564,0.5479999999999998,1000.0,3.02,440000,281,4.3162515794392675e-05,0.0001,97499
444,1562,0.5448000000000001,1000.0,3.07,444000,284,0.002212048042565584,0.0001,98499
448,1560,0.5416000000000004,1000.0,3.22,448000,287,0.004840942099690437,0.0001,99499
452,1558,0.5383999999999999,1000.0,3.33,452000,290,0.00018569323583506048,0.0001,100499
456,1556,0.5352000000000003,1000.0,3.54,456000,292,0.0045801568776369095,0.0001,101499
460,1554,0.5319999999999997,1000.0,3.34,460000,295,6.993545684963465e-05,0.0001,102499
464,1552,0.5288,1000.0,3.18,464000,298,2.0167939510429278e-05,0.0001,103499
468,1550,0.5256000000000004,1000.0,3.27,468000,301,0.00010203041892964393,0.0001,104499
472,1548,0.5223999999999999,1000.0,3.27,472000,304,0.002662583952769637,0.0001,105499
476,1546,0.5192000000000002,1000.0,3.41,476000,307,0.0032426698599010706,0.0001,106499
480,1544,0.5159999999999997,1000.0,3.39,480000,310,0.0030887965112924576,0.0001,107499
484,1542,0.5127999999999999,1000.0,3.36,484000,313,0.00019865026115439832,0.0001,108499
488,1540,0.5096000000000004,1000.0,3.27,488000,316,0.0015972263645380735,0.0001,109499
492,1538,0.5063999999999999,1000.0,2.75,492000,319,0.00018102423928212374,0.0001,110499
496,1536,0.5032000000000002,1000.0,2.91,496000,322,0.00018489650392439216,0.0001,111499
500,1533,0.49999999999999967,1000.0,2.94,500000,326,0.00011402214295230806,0.0001,112499
504,1531,0.4968,1000.0,2.93,504000,329,0.003068486927077174,0.0001,113499
508,1529,0.49360000000000037,1000.0,3.17,508000,332,0.0002813683240674436,0.0001,114499
512,1527,0.4903999999999998,1000.0,3.06,512000,335,9.180975030176342e-05,0.0001,115499
516,1526,0.4872000000000002,1000.0,3.07,516000,338,0.0004955639597028494,0.0001,116499
